index,dx,dy,dz,Bx,By,Bz,Bmod,
0.0,0.0,0.0,0.0,428.79,7.069999999999999,12.85,429.04075738792,
1.0,-50.0,-50.0,-50.0,425.96000000000004,11.69,16.61,426.44398201874066,
2.0,0.0,0.0,10.0,426.45000000000005,11.5,15.809999999999999,426.8978901329919,
3.0,0.0,0.0,10.0,426.79,11.05,15.27,427.2060152900472,
4.0,0.0,0.0,10.0,426.96999999999997,10.549999999999999,15.05,427.3654009158907,
5.0,0.0,0.0,10.0,427.03999999999996,10.020000000000001,14.790000000000001,427.41350715671115,
6.0,0.0,0.0,10.0,427.02,9.75,14.69,427.3838309997232,
7.0,0.0,0.0,10.0,427.02,9.15,14.450000000000001,427.36238182600954,
8.0,0.0,0.0,10.0,426.78000000000003,8.61,14.19,427.1026300551192,
9.0,0.0,0.0,10.0,426.42,7.88,13.69,426.7124639613894,
10.0,0.0,0.0,10.0,425.83000000000004,7.2,12.370000000000001,426.0704704623403,
11.0,0.0,0.0,10.0,425.28000000000003,6.5200000000000005,9.700000000000001,425.4405702327882,
12.0,10.0,0.0,-100.0,427.32,11.709999999999999,17.37,427.8331723931654,
13.0,0.0,0.0,10.0,427.15999999999997,11.6,16.28,427.6274827463735,
14.0,0.0,0.0,10.0,427.12,11.329999999999998,15.58,427.5542067387479,
15.0,0.0,0.0,10.0,427.15000000000003,10.950000000000001,15.200000000000001,427.56059804430066,
16.0,0.0,0.0,10.0,427.22,10.57,14.729999999999999,427.6045207899468,
17.0,0.0,0.0,10.0,427.26,10.27,14.499999999999998,427.62931435999565,
18.0,0.0,0.0,10.0,427.22,9.78,14.15,427.56613441665377,
19.0,0.0,0.0,10.0,427.21000000000004,9.51,13.719999999999999,427.53603660978104,
20.0,0.0,0.0,10.0,427.28000000000003,9.06,13.14,427.5779947565123,
21.0,0.0,0.0,10.0,427.48,8.91,11.96,427.7400847477356,
22.0,0.0,0.0,10.0,428.28,8.98,10.33,428.4986670924426,
23.0,10.0,0.0,-100.0,428.40000000000003,11.25,16.720000000000002,428.87373538140577,
24.0,0.0,0.0,10.0,427.89,11.329999999999998,16.07,428.34152950653754,
25.0,0.0,0.0,10.0,427.65,11.25,15.479999999999999,428.0779314564113,
26.0,0.0,0.0,10.0,427.53,10.98,15.09,427.9371091644191,
27.0,0.0,0.0,10.0,427.49,10.68,14.66,427.8746055797189,
28.0,0.0,0.0,10.0,427.49,10.57,14.389999999999999,427.86270823711664,
29.0,0.0,0.0,10.0,427.56,10.23,13.96,427.91014021637767,
30.0,0.0,0.0,10.0,427.67,10.0,13.569999999999999,428.00207219124536,
31.0,0.0,0.0,10.0,427.91,9.73,13.18,428.2234853438097,
32.0,0.0,0.0,10.0,428.33000000000004,9.69,12.559999999999999,428.6236561367093,
33.0,0.0,0.0,10.0,429.42,9.879999999999999,12.049999999999999,429.70263357349813,
34.0,10.0,0.0,-100.0,428.83,11.26,15.67,429.26391113160213,
35.0,0.0,0.0,10.0,428.25,11.290000000000001,15.39,428.67514355278405,
36.0,0.0,0.0,10.0,427.97,11.25,15.04,428.3819382280257,
37.0,0.0,0.0,10.0,427.84999999999997,11.030000000000001,14.77,428.2469337893734,
38.0,0.0,0.0,10.0,427.81,10.75,14.34,428.18523351465547,
39.0,0.0,0.0,10.0,427.77000000000004,10.72,14.139999999999999,428.1378643614695,
40.0,0.0,0.0,10.0,427.88,10.45,13.799999999999999,428.23000467038736,
41.0,0.0,0.0,10.0,428.01,10.3,13.51,428.34702076704116,
42.0,0.0,0.0,10.0,428.24,10.0,13.32,428.5637875509316,
43.0,0.0,0.0,10.0,428.66,9.92,13.010000000000002,428.97209944237636,
44.0,0.0,0.0,10.0,429.36,9.81,13.129999999999999,429.6727156802024,
45.0,10.0,0.0,-100.0,429.05,11.37,14.78,429.455035830295,
46.0,0.0,0.0,10.0,428.58,11.37,14.63,428.980337777852,
47.0,0.0,0.0,10.0,428.31,11.25,14.31,428.6966231497514,
48.0,0.0,0.0,10.0,428.15,11.14,14.16,428.52891116002894,
49.0,0.0,0.0,10.0,428.07,10.91,13.81,428.43163877099454,
50.0,0.0,0.0,10.0,428.07,10.870000000000001,13.649999999999999,428.42549445615396,
51.0,0.0,0.0,10.0,428.1,10.72,13.420000000000002,428.444424400645,
52.0,0.0,0.0,10.0,428.21999999999997,10.52,13.18,428.55192357519525,
53.0,0.0,0.0,10.0,428.46000000000004,10.26,13.06,428.78176593693905,
54.0,0.0,0.0,10.0,428.68,10.03,12.84,428.98952073448135,
55.0,0.0,0.0,10.0,429.07,9.65,12.92,429.37293091204526,
56.0,10.0,0.0,-100.0,429.23,11.329999999999998,14.05,429.60931589061244,
57.0,0.0,0.0,10.0,428.8,11.360000000000001,13.860000000000001,429.17431097399106,
58.0,0.0,0.0,10.0,428.45,11.440000000000001,13.66,428.82032566099286,
59.0,0.0,0.0,10.0,428.28999999999996,11.25,13.5,428.6503663826732,
60.0,0.0,0.0,10.0,428.18,11.14,13.23,428.52916458509566,
61.0,0.0,0.0,10.0,428.21999999999997,11.02,13.23,428.5660295683735,
62.0,0.0,0.0,10.0,428.28999999999996,10.870000000000001,13.079999999999998,428.62753924590515,
63.0,0.0,0.0,10.0,428.40999999999997,10.72,12.84,428.73641331242203,
64.0,0.0,0.0,10.0,428.6,10.53,12.77,428.9194723954603,
65.0,0.0,0.0,10.0,428.9,10.26,12.5,429.20476185615644,
66.0,0.0,0.0,10.0,429.3,9.92,12.25,429.5892909512527,
67.0,10.0,0.0,-100.0,429.53,11.360000000000001,13.24,429.8841333429276,
68.0,0.0,0.0,10.0,428.87,11.55,13.079999999999998,429.2248429436488,
69.0,0.0,0.0,10.0,428.54999999999995,11.590000000000002,13.010000000000002,428.90405768656467,
70.0,0.0,0.0,10.0,428.36,11.440000000000001,13.0,428.7098823213666,
71.0,0.0,0.0,10.0,428.28,11.290000000000001,12.85,428.6214472002072,
72.0,0.0,0.0,10.0,428.28,11.21,12.930000000000001,428.62175329770645,
73.0,0.0,0.0,10.0,428.36,11.100000000000001,12.81,428.69522472264606,
74.0,0.0,0.0,10.0,428.47,10.98,12.73,428.7996667442735,
75.0,0.0,0.0,10.0,428.75000000000006,10.83,12.73,429.0756393690978,
76.0,0.0,0.0,10.0,429.13,10.72,12.5,429.44583511777125,
77.0,0.0,0.0,10.0,429.84000000000003,10.64,12.14,430.1430166816614,
78.0,10.0,0.0,-100.0,429.72,11.629999999999999,11.6,430.03383041337577,
79.0,0.0,0.0,10.0,428.9,11.969999999999999,11.76,429.22813106785065,
80.0,0.0,0.0,10.0,428.51,12.04,11.950000000000001,428.8456414608874,
81.0,0.0,0.0,10.0,428.31,11.889999999999999,12.110000000000001,428.6461014636667,
82.0,0.0,0.0,10.0,428.23,11.700000000000001,12.12,428.56121768074166,
83.0,0.0,0.0,10.0,428.23,11.55,12.27,428.5614171854485,
84.0,0.0,0.0,10.0,428.31,11.4,12.27,428.6373397173886,
85.0,0.0,0.0,10.0,428.46000000000004,11.280000000000001,12.36,428.78663645221036,
86.0,0.0,0.0,10.0,428.74,11.17,12.51,429.06789276290533,
87.0,0.0,0.0,10.0,429.16,11.17,12.59,429.48990977670246,
88.0,0.0,0.0,10.0,430.21,11.440000000000001,12.750000000000002,430.5509031461901,
89.0,10.0,0.0,-100.0,429.16,12.57,9.69,429.45338117192654,
90.0,0.0,0.0,10.0,428.46000000000004,12.95,10.59,428.78645291100327,
91.0,0.0,0.0,10.0,428.18,12.91,11.19,428.5207073176278,
92.0,0.0,0.0,10.0,428.07,12.53,11.53,428.408527809613,
93.0,0.0,0.0,10.0,428.05999999999995,12.31,11.620000000000001,428.39458925154497,
94.0,0.0,0.0,10.0,428.11,12.04,11.850000000000001,428.4431773292697,
95.0,0.0,0.0,10.0,428.15,11.739999999999998,11.889999999999999,428.4759295456397,
96.0,0.0,0.0,10.0,428.26000000000005,11.51,12.12,428.58604981963657,
97.0,0.0,0.0,10.0,428.38,11.360000000000001,12.47,428.71199528354697,
98.0,0.0,0.0,10.0,428.69,11.280000000000001,12.95,429.03386463075384,
99.0,0.0,0.0,10.0,429.51000000000005,11.590000000000002,14.129999999999999,429.89862188660254,
100.0,10.0,0.0,-100.0,427.48,14.59,8.87,427.8208683549693,
101.0,0.0,0.0,10.0,427.56,14.36,10.36,427.92650397001586,
102.0,0.0,0.0,10.0,427.71000000000004,13.979999999999999,11.11,428.0826048790117,
103.0,0.0,0.0,10.0,427.83000000000004,13.370000000000001,11.46,428.1922435075162,
