index,dx,dy,dz,Bx,By,Bz,Bmod,
0.0,0.0,0.0,0.0,428390.0,10540.0,10330.0,428644.1328188221,
1.0,-50.0,-50.0,-50.0,425600.0,15129.999999999998,8240.0,425948.55851381866,
2.0,0.0,0.0,10.0,427280.0,14260.0,8790.0,427608.24372315366,
3.0,0.0,0.0,10.0,427969.99999999994,13690.0,9740.0,428299.66682219115,
4.0,0.0,0.0,10.0,428200.0,13270.0,10330.0,428530.09439244756,
5.0,0.0,0.0,10.0,428270.0,13230.0,10840.0,428611.3990551348,
6.0,0.0,0.0,10.0,428310.00000000006,13080.0,11200.000000000002,428656.0188542791,
7.0,0.0,0.0,10.0,428420.0,13010.0,11439.999999999998,428770.13666998775,
8.0,0.0,0.0,10.0,428410.0,12700.0,11880.0,428762.8161349816,
9.0,0.0,0.0,10.0,428060.0,12170.0,12509.999999999998,428415.6540090476,
10.0,0.0,0.0,10.0,427010.0,11100.000000000002,13020.0,427352.63015453645,
11.0,0.0,0.0,10.0,424360.0,9210.0,13150.0,424663.5800254126,
12.0,10.0,0.0,-100.0,425950.0,16460.0,11310.0,426417.9290320706,
13.0,0.0,0.0,10.0,426950.0,15780.0,10490.0,427370.2738843683,
14.0,0.0,0.0,10.0,427490.0,15400.0,10610.0,427898.85744180245,
15.0,0.0,0.0,10.0,427840.0,14860.0,10620.0,428229.6925716385,
16.0,0.0,0.0,10.0,427950.0,14670.0,10820.0,428338.0485084182,
17.0,0.0,0.0,10.0,428110.0,14440.0,10930.0,428492.88278803416,
18.0,0.0,0.0,10.0,428150.0,14170.0,10900.0,428523.0698573882,
19.0,0.0,0.0,10.0,428140.0,13950.0,10980.0,428507.9024942247,
20.0,0.0,0.0,10.0,427909.99999999994,13570.0,10870.0,428263.0849139346,
21.0,0.0,0.0,10.0,427320.0,13000.0,10280.0,427641.27583758795,
22.0,0.0,0.0,10.0,426190.0,12240.0,8830.0,426457.152126682,
23.0,10.0,0.0,-100.0,427269.99999999994,16339.999999999998,12210.0,427756.6277686413,
24.0,0.0,0.0,10.0,427430.0,16339.999999999998,11240.000000000002,427889.8667881725,
25.0,0.0,0.0,10.0,427580.0,16150.0,11080.000000000002,428028.3230114568,
26.0,0.0,0.0,10.0,427740.0,15690.0,10880.0,428165.9235623498,
27.0,0.0,0.0,10.0,427930.0,15580.0,10840.0,428350.70549725957,
28.0,0.0,0.0,10.0,428040.0,15390.0,10890.0,428454.998570445,
29.0,0.0,0.0,10.0,428170.0,15280.0,10680.0,428575.65224823495,
30.0,0.0,0.0,10.0,428270.0,15160.0,10620.0,428669.8063778227,
31.0,0.0,0.0,10.0,428320.0,15049.999999999998,10220.0,428706.1619571149,
32.0,0.0,0.0,10.0,428270.0,14900.0,9450.0,428633.29945304064,
33.0,0.0,0.0,10.0,428459.99999999994,15049.999999999998,7990.0,428798.68726478156,
34.0,10.0,0.0,-100.0,428270.0,16299.999999999998,11880.0,428744.69944245374,
35.0,0.0,0.0,10.0,427909.99999999994,16339.999999999998,11220.000000000002,428368.82718050334,
36.0,0.0,0.0,10.0,427830.0,16299.999999999998,11180.000000000002,428286.3426494009,
37.0,0.0,0.0,10.0,427870.0,16030.0,10950.0,428310.1683359852,
38.0,0.0,0.0,10.0,427950.0,15800.0,10870.0,428379.50394480827,
39.0,0.0,0.0,10.0,428110.0,15620.0,10750.0,428529.7177559568,
40.0,0.0,0.0,10.0,428300.0,15580.0,10590.0,428714.09412334464,
41.0,0.0,0.0,10.0,428480.0,15500.0,10410.0,428886.6149695045,
42.0,0.0,0.0,10.0,428720.0,15540.0,10049.999999999998,429119.25207336014,
43.0,0.0,0.0,10.0,429030.0,15690.0,9620.0,429424.5700935148,
44.0,0.0,0.0,10.0,429690.0,16140.000000000002,9070.0,430088.6659748197,
45.0,10.0,0.0,-100.0,428480.0,16450.0,11319.999999999998,428945.0492778766,
46.0,0.0,0.0,10.0,428080.0,16259.999999999998,11240.000000000002,428536.1263650942,
47.0,0.0,0.0,10.0,427930.0,16330.0,11430.0,428393.9760314097,
48.0,0.0,0.0,10.0,427930.0,16370.0,11200.000000000002,428389.42774069484,
49.0,0.0,0.0,10.0,428050.0,16220.000000000002,11080.000000000002,428500.4752622802,
50.0,0.0,0.0,10.0,428200.0,16070.0,11170.0,428647.00372217695,
51.0,0.0,0.0,10.0,428430.00000000006,16410.0,11010.0,428885.5011538628,
52.0,0.0,0.0,10.0,428630.0,16330.0,10970.0,429081.2122430904,
53.0,0.0,0.0,10.0,428900.0,16630.0,10740.0,429356.6285734972,
54.0,0.0,0.0,10.0,429250.0,16710.0,10540.0,429704.4079364325,
55.0,0.0,0.0,10.0,429900.0,16940.0,10660.0,430365.66916983516,
56.0,10.0,0.0,-100.0,428200.0,17400.0,10660.0,428685.9405205634,
57.0,0.0,0.0,10.0,428000.0,17240.0,10820.0,428483.7103088051,
58.0,0.0,0.0,10.0,427870.0,17290.0,11180.000000000002,428365.1169271373,
59.0,0.0,0.0,10.0,427920.0,16970.0,11060.000000000002,428399.14904210536,
60.0,0.0,0.0,10.0,428000.0,16900.0,11210.0,428480.19102404255,
61.0,0.0,0.0,10.0,428150.0,16900.0,11330.0,428633.1781372039,
62.0,0.0,0.0,10.0,428310.00000000006,16860.0,11220.000000000002,428788.5307468007,
63.0,0.0,0.0,10.0,428540.0,17050.0,11210.0,429025.5216184697,
64.0,0.0,0.0,10.0,428850.0,17320.0,11140.000000000002,429344.1562429842,
65.0,0.0,0.0,10.0,429159.99999999994,17320.0,11299.999999999998,429657.97793128423,
66.0,0.0,0.0,10.0,429590.00000000006,17480.0,11690.0,430104.37640182185,
67.0,10.0,0.0,-100.0,427960.0,17590.0,10900.0,428460.00945245754,
68.0,0.0,0.0,10.0,427909.99999999994,17320.0,10910.0,428399.32142803393,
69.0,0.0,0.0,10.0,427879.99999999994,17280.0,11170.0,428374.4409975926,
70.0,0.0,0.0,10.0,427870.0,16970.0,11030.0,428348.43142002984,
71.0,0.0,0.0,10.0,427950.0,17050.0,11220.000000000002,428436.45199725946,
72.0,0.0,0.0,10.0,428110.0,16970.0,11299.999999999998,428595.1971266127,
73.0,0.0,0.0,10.0,428300.0,17100.0,11430.0,428793.59241947636,
74.0,0.0,0.0,10.0,428540.0,17160.0,11500.0,429037.5825029784,
75.0,0.0,0.0,10.0,428770.0,17290.0,11700.0,429277.93677290244,
76.0,0.0,0.0,10.0,429000.0,17290.0,11730.0,429508.4830361328,
77.0,0.0,0.0,10.0,429189.99999999994,17320.0,11970.0,429706.08489989984,
78.0,10.0,0.0,-100.0,427980.0,17510.0,11080.000000000002,428481.3261975369,
79.0,0.0,0.0,10.0,427830.0,17100.0,10800.0,428307.78524327575,
80.0,0.0,0.0,10.0,427710.0,17290.0,11110.0,428203.4800185538,
81.0,0.0,0.0,10.0,427750.0,16970.0,11070.0,428229.5976459357,
82.0,0.0,0.0,10.0,427830.0,16940.0,11270.0,428313.53632590227,
83.0,0.0,0.0,10.0,427990.0,16900.0,11500.0,428477.8875274662,
84.0,0.0,0.0,10.0,428140.0,16900.0,11540.0,428628.7918467447,
85.0,0.0,0.0,10.0,428370.00000000006,17010.0,11780.0,428869.4036650319,
86.0,0.0,0.0,10.0,428530.0,17130.0,11940.0,429038.41483018745,
87.0,0.0,0.0,10.0,428760.0,17170.0,12060.0,429273.09501062374,
88.0,0.0,0.0,10.0,429030.0,17060.0,12330.000000000002,429546.0550395033,
89.0,10.0,0.0,-100.0,428170.0,16900.0,10250.0,428625.9691152649,
90.0,0.0,0.0,10.0,427790.00000000006,16940.0,10250.0,428247.9541106998,
91.0,0.0,0.0,10.0,427600.0,17090.0,10680.0,428074.63192765816,
92.0,0.0,0.0,10.0,427590.0,16820.0,10800.0,428056.9594107775,
93.0,0.0,0.0,10.0,427670.00000000006,16900.0,11120.000000000002,428148.21417355,
94.0,0.0,0.0,10.0,427790.00000000006,16860.0,11390.0,428273.59923301375,
95.0,0.0,0.0,10.0,427900.0,16780.0,11510.0,428383.5413505052,
96.0,0.0,0.0,10.0,428090.0,16860.0,11750.0,428582.97936339,
97.0,0.0,0.0,10.0,428210.0,16980.0,12060.0,428716.1859552308,
98.0,0.0,0.0,10.0,428480.0,16980.0,12340.0,428993.8302586647,
99.0,0.0,0.0,10.0,428920.00000000006,17100.0,12840.0,429452.7238241714,
100.0,10.0,0.0,-100.0,427819.99999999994,16860.0,8730.0,428241.08268590947,
101.0,0.0,0.0,10.0,427350.0,16940.0,9400.0,427788.9036662826,
102.0,0.0,0.0,10.0,427230.0,17090.0,10260.0,427694.7610153765,
103.0,0.0,0.0,10.0,427310.0,16740.0,10490.0,427766.4126599937,
104.0,0.0,0.0,10.0,427430.0,16740.0,10880.0,427896.02346831874,
105.0,0.0,0.0,10.0,427630.0,16520.0,11240.000000000002,428096.56025247386,
106.0,0.0,0.0,10.0,427700.00000000006,16520.0,11390.0,428170.4479526816,
107.0,0.0,0.0,10.0,427819.99999999994,16520.0,11740.0,428299.7669856942,
108.0,0.0,0.0,10.0,427890.0,16520.0,12190.0,428382.25756910146,
109.0,0.0,0.0,10.0,428020.0,16520.0,12649.999999999998,428525.44066834584,
110.0,0.0,0.0,10.0,428410.0,16590.0,13710.0,428950.253875668,
111.0,10.0,0.0,-100.0,426230.0,17700.0,7310.0,426659.9805465706,
