index,dx,dy,dz,Bx,By,Bz,Bmod,
0.0,0.0,0.0,0.0,429010.00000000006,7870.0,5800.0,429121.3779340294,
1.0,-50.0,-50.0,-50.0,425590.0,12080.0,12620.0,425948.3993396383,
2.0,0.0,0.0,25.0,426560.0,10980.0,8630.0,426788.55525892443,
3.0,0.0,0.0,25.0,426910.0,9650.0,7960.0,427093.2359567405,
4.0,0.0,0.0,25.0,426830.0,8590.0,7050.0,426974.6356635251,
5.0,0.0,0.0,25.0,426010.0,7070.0,5290.0,426101.5009361032,
6.0,25.0,0.0,-100.0,429900.0,8620.0,9490.0,430091.12348431465,
7.0,0.0,0.0,25.0,428300.0,8850.0,8240.0,428470.66422335146,
8.0,0.0,0.0,25.0,427879.99999999994,8320.0,7560.0,428027.65144322155,
9.0,0.0,0.0,25.0,427960.0,7940.0,6580.0,428084.2225543941,
10.0,0.0,0.0,25.0,428540.0,7560.0,5520.000000000001,428642.2233051709,
11.0,25.0,0.0,-100.0,430210.0,7720.0,7880.0,430351.41094226704,
12.0,0.0,0.0,25.0,429159.99999999994,7830.0,6860.000000000001,429286.2379578455,
13.0,0.0,0.0,25.0,428660.0,7530.0,6590.0,428776.7771230154,
14.0,0.0,0.0,25.0,428730.0,7340.0,6040.0,428835.36479632836,
15.0,0.0,0.0,25.0,429310.0,6959.999999999999,5410.0,429400.4958078181,
16.0,25.0,0.0,-100.0,430980.0,7340.0,3810.0,431059.337098734,
17.0,0.0,0.0,25.0,429230.0,8090.000000000001,5030.0,429335.6983759911,
18.0,0.0,0.0,25.0,428960.0,7530.0,5530.000000000001,429061.724463975,
19.0,0.0,0.0,25.0,429030.0,7150.0,5340.0,429122.80177124124,
20.0,0.0,0.0,25.0,429540.0,6879.999999999999,5689.999999999999,429632.7758679498,
21.0,25.0,0.0,-100.0,424290.0,12380.0,5380.0,424504.66770107485,
22.0,0.0,0.0,25.0,428720.0,9380.0,6240.0,428867.9988061595,
23.0,0.0,0.0,25.0,429310.0,7940.0,5420.0,429417.6243472082,
24.0,0.0,0.0,25.0,429380.0,7180.0,4440.0,429462.9790796874,
25.0,0.0,0.0,25.0,428260.0,5510.0,3540.0,428310.07377833175,
26.0,-100.0,25.0,-100.0,426659.99999999994,10870.0,8600.0,426885.0811401119,
27.0,0.0,0.0,25.0,427600.0,10220.0,6909.999999999999,427777.92895379727,
28.0,0.0,0.0,25.0,427600.0,9870.0,6440.0,427762.376209035,
29.0,0.0,0.0,25.0,427590.0,9420.0,6130.0,427737.67825619475,
30.0,0.0,0.0,25.0,427320.0,8700.0,5620.000000000001,427445.50155546144,
31.0,25.0,0.0,-100.0,429420.0,9270.0,8320.0,429600.61883102544,
32.0,0.0,0.0,25.0,428530.0,9340.0,6990.0,428688.76425677404,
33.0,0.0,0.0,25.0,428290.0,9040.0,6450.0,428433.94846813905,
34.0,0.0,0.0,25.0,428290.0,8810.0,5740.0,428419.05629885325,
35.0,0.0,0.0,25.0,428720.0,8470.0,4840.0,428830.9747441292,
36.0,25.0,0.0,-100.0,430000.0,8580.0,6919.999999999999,430141.2591230932,
37.0,0.0,0.0,25.0,429189.99999999994,8700.0,6250.0,429323.6641509526,
38.0,0.0,0.0,25.0,428840.0,8510.0,6050.0,428967.0945422271,
39.0,0.0,0.0,25.0,428910.0,8360.0,5510.0,429026.84974253067,
40.0,0.0,0.0,25.0,429420.0,8129.999999999999,5040.0,429526.52409368154,
41.0,25.0,0.0,-100.0,429810.0,8470.0,4990.0,429922.40823199716,
42.0,0.0,0.0,25.0,429370.0,8550.0,5470.0,429489.95366597344,
43.0,0.0,0.0,25.0,429219.99999999994,8280.0,5470.0,429334.7035821818,
44.0,0.0,0.0,25.0,429300.0,8090.000000000001,5110.0,429406.62570575223,
45.0,0.0,0.0,25.0,429530.00000000006,7860.0,5040.0,429631.4724272421,
46.0,25.0,0.0,-100.0,427470.0,9460.0,7430.0,427639.2140578317,
47.0,0.0,0.0,25.0,429930.0,8470.0,5659.999999999999,430050.67306074523,
48.0,0.0,0.0,25.0,429610.0,8169.999999999999,5080.0,429717.70664006856,
49.0,0.0,0.0,25.0,429769.99999999994,8129.999999999999,4760.0,429873.2457364612,
50.0,0.0,0.0,25.0,429760.0,7640.0,3510.0,429842.2353608356,
