index,dx,dy,dz,Bx,By,Bz,Bmod,
0.0,0.0,0.0,0.0,429000.0,6070.0,5689.999999999999,429080.6695715853,
1.0,-50.0,-50.0,-50.0,425810.00000000006,10820.0,11810.0,426111.1411357371,
2.0,0.0,0.0,25.0,426750.0,9490.0,8010.0,426930.6532681859,
3.0,0.0,0.0,25.0,427060.00000000006,7900.0,7650.0,427201.5637845911,
4.0,0.0,0.0,25.0,426900.0,6650.0,7300.0,427014.19472893403,
5.0,0.0,0.0,25.0,426040.0,4900.0,5850.0,426108.3361071454,
6.0,25.0,0.0,-100.0,429739.99999999994,7370.0,8830.0,429893.8862091434,
7.0,0.0,0.0,25.0,428100.0,7330.0,7970.0,428236.92017386825,
8.0,0.0,0.0,25.0,427720.0,6610.0,7410.0,427835.2470285729,
9.0,0.0,0.0,25.0,427760.00000000006,6000.0,6710.0,427854.69694745674,
10.0,0.0,0.0,25.0,428350.0,5390.0,5920.0,428424.8137071428,
11.0,25.0,0.0,-100.0,429860.0,6450.0,7100.0,429967.01280447084,
12.0,0.0,0.0,25.0,428740.0,6300.0,6310.0,428832.7106226856,
13.0,0.0,0.0,25.0,428230.0,5770.0,6390.0,428316.5393724599,
14.0,0.0,0.0,25.0,428310.00000000006,5350.0,6110.0,428386.9870806069,
15.0,0.0,0.0,25.0,428850.0,4750.0,5760.0,428914.98295116716,
16.0,25.0,0.0,-100.0,430290.00000000006,6030.0,3180.0,430343.998912498,
17.0,0.0,0.0,25.0,428540.0,6490.0,4630.0,428614.14885652106,
18.0,0.0,0.0,25.0,428230.0,5770.0,5380.0,428302.6619109435,
19.0,0.0,0.0,25.0,428270.0,5160.0,5450.0,428335.7573212864,
20.0,0.0,0.0,25.0,428810.0,4670.0,6040.0,428877.9623622552,
21.0,25.0,0.0,-100.0,423400.00000000006,11050.0,4430.0,423567.3351428319,
22.0,0.0,0.0,25.0,427720.0,7820.0,5689.999999999999,427829.3198227536,
23.0,0.0,0.0,25.0,428260.0,6150.0,5180.0,428335.4789181022,
24.0,0.0,0.0,25.0,428350.0,5240.0,4510.0,428405.7891765703,
25.0,0.0,0.0,25.0,427209.99999999994,3310.0,3930.0,427240.8982061525,
26.0,-100.0,25.0,-100.0,427140.0,9380.0,7810.0,427314.3574700012,
27.0,0.0,0.0,25.0,428070.0,8620.0,6480.0,428205.81464991806,
28.0,0.0,0.0,25.0,427960.0,7900.0,6550.0,428083.022438405,
29.0,0.0,0.0,25.0,428040.0,7330.0,6270.0,428148.6697398463,
30.0,0.0,0.0,25.0,427720.0,6380.0,6080.0,427810.78668027994,
31.0,25.0,0.0,-100.0,429630.0,7860.0,7490.0,429767.16556758963,
32.0,0.0,0.0,25.0,428690.0,7670.0,6480.0,428807.57386035053,
33.0,0.0,0.0,25.0,428380.0,7100.0,6280.0,428484.8571419998,
34.0,0.0,0.0,25.0,428420.0,6690.0,5810.0,428511.6201458252,
35.0,0.0,0.0,25.0,428770.0,6110.0,5220.0,428845.3024110209,
36.0,25.0,0.0,-100.0,429940.0,7180.0,6080.0,430042.9308801622,
37.0,0.0,0.0,25.0,429010.00000000006,7030.0,5689.999999999999,429105.32168687915,
38.0,0.0,0.0,25.0,428690.0,6570.0,5810.0,428779.70695917966,
39.0,0.0,0.0,25.0,428690.0,6220.0,5570.000000000001,428771.3019781058,
40.0,0.0,0.0,25.0,429159.99999999994,5770.0,5340.0,429232.0049809892,
41.0,25.0,0.0,-100.0,429400.0,7030.0,4190.0,429477.98197346507,
42.0,0.0,0.0,25.0,428930.0,6909.999999999999,4820.0,429012.7333774605,
43.0,0.0,0.0,25.0,428770.0,6370.0,5260.0,428849.5743264764,
44.0,0.0,0.0,25.0,428770.0,6000.0,5180.0,428843.2642586333,
45.0,0.0,0.0,25.0,428960.0,5540.000000000001,5380.0,429029.50667757104,
46.0,25.0,0.0,-100.0,426740.0,8050.000000000001,6600.0,426866.94660046004,
47.0,0.0,0.0,25.0,429120.0,6800.000000000001,5220.0,429205.6183229665,
48.0,0.0,0.0,25.0,428810.0,6220.0,4910.0,428883.2155727244,
49.0,0.0,0.0,25.0,428960.0,5960.0,4870.0,429029.0434224704,
50.0,0.0,0.0,25.0,428920.00000000006,5280.0,3930.0,428970.49980155984,
51.0,-100.0,25.0,-100.0,427720.0,8390.0,6790.000000000001,427856.16111024976,
52.0,0.0,0.0,25.0,428530.0,8390.0,6160.0,428656.3875646787,
53.0,0.0,0.0,25.0,428340.00000000006,8090.000000000001,6240.0,428461.8317890172,
54.0,0.0,0.0,25.0,428500.0,7790.0,5810.0,428610.18443336134,
55.0,0.0,0.0,25.0,428380.0,7370.0,5850.0,428483.32966406055,
56.0,25.0,0.0,-100.0,429630.0,7790.0,7020.0,429757.95676171023,
57.0,0.0,0.0,25.0,428920.00000000006,7750.0,6090.0,429033.23530934064,
58.0,0.0,0.0,25.0,428730.0,7480.0,5970.0,428836.80369110114,
59.0,0.0,0.0,25.0,428770.0,7220.0,5530.000000000001,428866.4386496103,
60.0,0.0,0.0,25.0,429159.99999999994,6800.000000000001,4980.0,429242.75882069336,
61.0,25.0,0.0,-100.0,430090.0,7370.0,5930.0,430194.014254034,
62.0,0.0,0.0,25.0,429280.0,7290.0,5520.000000000001,429377.3781884649,
63.0,0.0,0.0,25.0,428970.0,7070.0,5649.999999999999,429065.45922504645,
64.0,0.0,0.0,25.0,429050.0,6800.000000000001,5410.0,429137.9855011672,
65.0,0.0,0.0,25.0,429550.0,6380.0,5260.0,429629.57824153587,
66.0,25.0,0.0,-100.0,429660.0,7220.0,4670.0,429746.03302415716,
67.0,0.0,0.0,25.0,429240.0,7070.0,5060.0,429328.0401977024,
68.0,0.0,0.0,25.0,429050.0,6800.000000000001,5330.0,429136.98442338896,
69.0,0.0,0.0,25.0,429170.0,6570.0,5210.0,429251.9049462681,
70.0,0.0,0.0,25.0,429280.0,6110.0,5330.0,429356.5644077193,
71.0,25.0,0.0,-100.0,428040.0,6990.0,6580.0,428147.6358687503,
72.0,0.0,0.0,25.0,429600.0,6990.0,4900.0,429684.8031988099,
73.0,0.0,0.0,25.0,429090.0,6650.0,4820.0,429168.5950765736,
74.0,0.0,0.0,25.0,429290.0,6380.0,5050.0,429367.10516759433,
75.0,0.0,0.0,25.0,429490.0,6040.0,4180.0,429552.8071145619,
76.0,-100.0,25.0,-100.0,427150.00000000006,7450.0,6530.0,427264.8662129851,
77.0,0.0,0.0,25.0,428440.0,8320.0,5440.0,428555.3051824233,
78.0,0.0,0.0,25.0,428519.99999999994,8360.0,5550.000000000001,428637.47211367317,
79.0,0.0,0.0,25.0,428670.0,8240.0,5240.0,428781.20772720437,
80.0,0.0,0.0,25.0,428320.0,8390.0,5050.0,428431.92808193,
81.0,25.0,0.0,-100.0,429530.00000000006,7680.0,6450.0,429647.07121077884,
82.0,0.0,0.0,25.0,428950.00000000006,7830.0,5430.0,429055.81956197735,
83.0,0.0,0.0,25.0,428910.0,7710.0,5230.0,429011.1712997693,
84.0,0.0,0.0,25.0,429099.99999999994,7600.0,4800.0,429194.14022094937,
85.0,0.0,0.0,25.0,429580.0,7300.0,4160.0,429662.1603073745,
86.0,25.0,0.0,-100.0,429960.0,7180.0,5500.0,430055.1173977587,
87.0,0.0,0.0,25.0,429300.0,7370.0,5070.0,429393.19021148904,
88.0,0.0,0.0,25.0,429180.0,7260.0,5150.0,429272.2941211091,
89.0,0.0,0.0,25.0,429380.0,7110.0,4920.0,429467.0451850759,
90.0,0.0,0.0,25.0,430010.0,6640.0,4720.0,430087.16337505355,
91.0,25.0,0.0,-100.0,429850.0,6879.999999999999,4240.0,429925.9639751942,
92.0,0.0,0.0,25.0,429310.0,7110.0,4640.0,429393.9424351489,
93.0,0.0,0.0,25.0,429310.0,7030.0,5070.0,429397.4870676353,
