index,dx,dy,dz,Bx,By,Bz,Bmod,
0.0,0.0,0.0,0.0,428970.0,4710.0,5770.0,429034.6581571237,
1.0,-50.0,-50.0,-50.0,425850.0,8320.0,11860.0,426096.35588678764,
2.0,0.0,0.0,25.0,426910.0,7220.0,8280.0,427051.32583800744,
3.0,0.0,0.0,25.0,427450.0,5880.0,7920.0,427563.80026845116,
4.0,0.0,0.0,25.0,427530.0,4790.0,7490.0,427622.43287741585,
5.0,0.0,0.0,25.0,426910.0,3190.0,6040.0,426964.64233001776,
6.0,25.0,0.0,-100.0,429670.0,4940.0,8820.0,429788.90737197956,
7.0,0.0,0.0,25.0,428270.0,5090.0,8000.0,428374.95374963275,
8.0,0.0,0.0,25.0,428080.0,4520.0,7490.0,428169.3787509798,
9.0,0.0,0.0,25.0,428350.0,4069.9999999999995,6740.0,428422.3558592619,
10.0,0.0,0.0,25.0,429200.0,3650.0,6040.0,429258.0157667414,
11.0,25.0,0.0,-100.0,429739.99999999994,3990.0,7060.0,429816.5088732632,
12.0,0.0,0.0,25.0,428850.0,4030.0000000000005,6350.0,428915.9426974008,
13.0,0.0,0.0,25.0,428570.0,3720.0,6440.0,428634.52602421097,
14.0,0.0,0.0,25.0,428850.0,3500.0,6190.0,428908.9514104363,
15.0,0.0,0.0,25.0,429630.0,3070.0,5840.0,429680.6574655182,
16.0,25.0,0.0,-100.0,430140.0,3650.0,2940.0,430165.5329056478,
17.0,0.0,0.0,25.0,428650.0,4290.0,4430.0,428694.35673915746,
18.0,0.0,0.0,25.0,428579.99999999994,3720.0,5220.0,428627.9309611075,
19.0,0.0,0.0,25.0,428850.0,3310.0,5330.0,428895.89354527515,
20.0,0.0,0.0,25.0,429630.0,2960.0,5960.0,429681.53334766434,
21.0,25.0,0.0,-100.0,423250.0,8690.0,4240.0,423360.43296463124,
22.0,0.0,0.0,25.0,427800.0,5620.000000000001,5490.0,427872.1356900914,
23.0,0.0,0.0,25.0,428570.0,4100.0,4990.0,428618.65918319515,
24.0,0.0,0.0,25.0,428890.0,3340.0,4280.0,428924.35941550345,
25.0,0.0,0.0,25.0,427950.0,1590.0,3770.0,427969.55908101687,
26.0,-100.0,25.0,-100.0,426860.0,7220.0,7810.0,426992.4871704419,
27.0,0.0,0.0,25.0,427990.0,6540.0,6440.0,428088.4082756738,
28.0,0.0,0.0,25.0,428110.0,6070.0,6710.0,428205.60610529146,
29.0,0.0,0.0,25.0,428420.0,5729.999999999999,6400.0,428506.1134919781,
30.0,0.0,0.0,25.0,428340.00000000006,4940.0,6200.0,428413.3508657265,
31.0,25.0,0.0,-100.0,429280.0,5580.000000000001,7570.0,429382.9988483475,
32.0,0.0,0.0,25.0,428540.0,5659.999999999999,6550.0,428627.425277478,
33.0,0.0,0.0,25.0,428500.0,5280.0,6320.0,428579.1301498476,
34.0,0.0,0.0,25.0,428770.0,5010.0,5930.0,428840.2708468504,
35.0,0.0,0.0,25.0,429350.0,4630.0,5340.0,429408.168296785,
36.0,25.0,0.0,-100.0,429590.00000000006,4900.0,6120.0,429661.53248807375,
37.0,0.0,0.0,25.0,428970.0,5010.0,5689.999999999999,429036.98803250055,
