index,dx,dy,dz,Bx,By,Bz,Bmod,
0.0,0.0,0.0,0.0,428810.0,3270.0,5530.000000000001,428858.12327621825,
1.0,-55.0,-55.0,-55.0,422780.0,10450.0,12870.0,423104.91346709745,
2.0,0.0,0.0,27.5,426130.0,8210.0,8230.0,426288.5336248208,
3.0,0.0,0.0,27.5,426940.0,5960.0,8510.0,427066.3944868526,
4.0,0.0,0.0,27.5,426550.0,4180.0,8129.999999999999,426647.94831336057,
5.0,0.0,0.0,27.5,423519.99999999994,770.0,5060.0,423550.92598175246,
6.0,27.5,0.0,-110.0,430480.0,4640.0,10240.0,430626.7729716767,
7.0,0.0,0.0,27.5,428150.0,4790.0,7450.0,428241.6013186949,
8.0,0.0,0.0,27.5,427720.0,4600.0,8240.0,427824.09469313436,
9.0,0.0,0.0,27.5,427840.0,4260.0,7490.0,427926.7616076377,
10.0,0.0,0.0,27.5,429080.0,3990.0,6430.0,429146.72479234886,
11.0,27.5,0.0,-110.0,430050.0,4410.0,7770.0,430142.79431370227,
12.0,0.0,0.0,27.5,429000.0,3390.0000000000005,3760.0,429029.8704053134,
13.0,0.0,0.0,27.5,428459.99999999994,2620.0,3840.0,428485.2174813035,
14.0,0.0,0.0,27.5,428540.0,3690.0,6580.0,428606.3976424057,
15.0,0.0,0.0,27.5,429159.99999999994,3080.0,6240.0,429216.413479261,
16.0,27.5,0.0,-110.0,431270.0,3120.0,1200.0,431282.9550306852,
17.0,0.0,0.0,27.5,428690.0,4030.0000000000005,-2670.0,428717.2563590134,
18.0,0.0,0.0,27.5,428350.0,3080.0,-1739.9999999999998,428364.6069646744,
19.0,0.0,0.0,27.5,428549.99999999994,2470.0,-1429.9999999999998,428559.5038031474,
20.0,0.0,0.0,27.5,429600.0,2320.0,-100.0,429606.2760249203,
21.0,27.5,0.0,-110.0,418950.00000000006,13290.0,-3670.0,419176.8069681337,
22.0,0.0,0.0,27.5,427040.0,7790.0,-2300.0,427117.2388232533,
