index,dx,dy,dz,Bx,By,Bz,Bmod,
0.0,0.0,0.0,0.0,428880.0,1630.0,6370.0,428930.4001816612,
1.0,-50.0,-50.0,-50.0,426079.99999999994,5430.0,11980.0,426282.971393416,
2.0,0.0,0.0,100.0,426350.0,150.0,6090.0,426393.51906425593,
3.0,0.0,100.0,-100.0,424990.0,340.0,8910.0,425083.5256746608,
4.0,0.0,0.0,100.0,426750.0,4820.0,3650.0,426792.8272593156,
5.0,100.0,-100.0,-100.0,424090.0,5770.0,4130.0,424149.35800965206,
6.0,0.0,0.0,100.0,427550.0,-1030.0,4370.0,427573.57296727307,
7.0,0.0,100.0,-100.0,424330.0,-2280.0,3190.0,424348.1158200187,
8.0,0.0,0.0,100.0,427710.0,3720.0,5230.0,427758.1505944685,
9.0,-50.0,-50.0,-50.0,429030.0,1970.0,5659.999999999999,429071.8557537886,
