index,dx,dy,dz,Bx,By,Bz,Bmod,
0.0,0.0,0.0,0.0,-20350.0,13750.0,-3479.9999999999995,24805.14865909898,
1.0,-50.0,-50.0,-50.0,-31509.999999999996,6160.0,-42810.0,53511.88466126006,
2.0,0.0,0.0,100.0,-31509.999999999996,26850.0,32270.0,52489.57515545349,
3.0,0.0,100.0,-100.0,-21020.0,26469.999999999996,-38130.0,50954.864340904685,
4.0,0.0,0.0,100.0,-35590.0,17900.0,32270.0,51268.03097447765,
5.0,100.0,-100.0,-100.0,-7050.0,1870.0,-7800.0,10678.923166686798,
6.0,0.0,0.0,100.0,-7910.0,4750.0,5160.0,10571.480501802953,
7.0,0.0,100.0,-100.0,-5380.0,5060.0,-6929.999999999999,10127.828000119274,
8.0,0.0,0.0,100.0,-7600.0,4150.0,5120.0,10059.666992500299,
9.0,-50.0,-50.0,-50.0,-17910.0,11399.999999999998,-2970.0,21437.094019479413,
