index,dx,dy,dz,Bx,By,Bz,Bmod,
0.0,0.0,0.0,0.0,426719.99999999994,41769.99999999999,9130.0,428856.6755922075,
1.0,-50.0,-50.0,-50.0,422090.00000000006,47660.0,8310.0,424853.5039281188,
2.0,0.0,0.0,25.0,425090.0,44740.0,9910.0,427552.7848114195,
3.0,0.0,0.0,25.0,425319.99999999994,43360.0,11210.0,427671.4347486864,
4.0,0.0,0.0,25.0,425170.00000000006,41890.0,12070.0,427399.09440708935,
5.0,0.0,0.0,25.0,421350.0,37450.0,13370.0,423222.2606385444,
6.0,25.0,0.0,-100.0,425710.0,44280.0,13480.0,428218.90768624406,
7.0,0.0,0.0,25.0,425290.00000000006,43740.0,11600.0,427690.6962981543,
8.0,0.0,0.0,25.0,425450.0,42760.0,11000.0,427734.87126957515,
9.0,0.0,0.0,25.0,425560.0,41810.0,10029.999999999998,427726.5371706553,
10.0,0.0,0.0,25.0,426060.0,41360.0,7680.0,428131.7035679558,
11.0,25.0,0.0,-100.0,427350.0,42680.0,11240.000000000002,429623.0237079945,
12.0,0.0,0.0,25.0,426380.0,42490.0,10970.0,428632.296263359,
13.0,0.0,0.0,25.0,426190.0,42000.0,10690.0,428387.8992221886,
14.0,0.0,0.0,25.0,426460.0,41660.00000000001,10020.0,428607.1483304962,
15.0,0.0,0.0,25.0,427400.0,41320.0,9510.0,429498.01221891586,
16.0,25.0,0.0,-100.0,428050.0,41810.0,9120.0,430183.7433004646,
17.0,0.0,0.0,25.0,426850.0,41929.99999999999,9200.0,429003.13215639815,
18.0,0.0,0.0,25.0,426569.99999999994,41620.0,9630.0,428703.7744177207,
19.0,0.0,0.0,25.0,426850.0,41360.0,9470.0,428953.6723237138,
20.0,0.0,0.0,25.0,427890.0,41280.0,9080.0,429972.4838870506,
21.0,25.0,0.0,-100.0,426500.0,43099.99999999999,5510.0,428707.61609749834,
22.0,0.0,0.0,25.0,426260.0,42760.0,8100.000000000001,428475.9213771528,
23.0,0.0,0.0,25.0,426460.0,41849.99999999999,8890.0,428600.7305173429,
24.0,0.0,0.0,25.0,426569.99999999994,41090.0,8970.0,428638.3252813495,
25.0,0.0,0.0,25.0,426780.0,40630.0,10520.0,428838.7059256662,
26.0,-100.0,25.0,-100.0,425800.0,44620.0,8410.0,428214.0965685273,
27.0,0.0,0.0,25.0,426110.0,43740.0,10540.0,428478.71744113497,
28.0,0.0,0.0,25.0,425640.0,43520.0,10570.0,427989.63176693895,
29.0,0.0,0.0,25.0,426300.0,43210.0,10420.0,428610.97804419335,
30.0,0.0,0.0,25.0,425340.0,41780.0,12880.0,427581.0781594527,
31.0,25.0,0.0,-100.0,425989.99999999994,43930.0,11319.999999999998,428398.7247880179,
32.0,0.0,0.0,25.0,425989.99999999994,43520.0,10490.0,428335.7451812771,
33.0,0.0,0.0,25.0,426030.0,43060.0,10370.0,428326.11571091483,
34.0,0.0,0.0,25.0,426190.0,42490.0,9830.0,428415.6219140474,
35.0,0.0,0.0,25.0,426150.0,42080.0,8720.0,428311.32053682633,
36.0,25.0,0.0,-100.0,427320.0,42950.0,10490.0,429601.12313633447,
37.0,0.0,0.0,25.0,426620.0,42910.00000000001,10140.0,428892.42485732946,
38.0,0.0,0.0,25.0,426460.0,42570.0,10100.0,428698.4330505536,
39.0,0.0,0.0,25.0,426700.0,42310.0,9550.0,428898.8559089427,
40.0,0.0,0.0,25.0,427400.0,42190.0,9000.0,429571.59601165436,
41.0,25.0,0.0,-100.0,427590.0,42570.0,8920.0,429796.4394919995,
42.0,0.0,0.0,25.0,426920.0,42490.0,9160.0,429127.0116177727,
43.0,0.0,0.0,25.0,426730.0,42270.0,9550.0,428924.7583201511,
44.0,0.0,0.0,25.0,426930.0,42040.0,9350.0,429096.7361796172,
45.0,0.0,0.0,25.0,427550.0,42000.0,9230.0,429707.10420005856,
46.0,25.0,0.0,-100.0,426569.99999999994,42830.0,7670.0,428783.39834932965,
47.0,0.0,0.0,25.0,426810.0,42680.0,8690.0,429026.6595446022,
48.0,0.0,0.0,25.0,426810.0,42190.0,9040.0,428985.4237616938,
49.0,0.0,0.0,25.0,426930.0,41849.99999999999,8840.0,429067.3525217224,
50.0,0.0,0.0,25.0,426810.0,41470.0,9080.0,428916.0563560194,
51.0,-100.0,25.0,-100.0,426689.99999999994,43710.00000000001,8570.0,429008.583946755,
52.0,0.0,0.0,25.0,426230.0,43670.0,10490.0,428589.68944667815,
53.0,0.0,0.0,25.0,425610.0,43440.0,9980.0,427937.5025631663,
54.0,0.0,0.0,25.0,426580.0,43250.0,9310.0,428867.9691933171,
55.0,0.0,0.0,25.0,426460.0,43019.99999999999,11670.0,428783.2096759387,
56.0,25.0,0.0,-100.0,426190.0,43140.0,10250.0,428490.4178625235,
57.0,0.0,0.0,25.0,426230.0,43210.0,9820.0,428527.1863021062,
58.0,0.0,0.0,25.0,426190.0,43140.0,9790.0,428479.66089418996,
59.0,0.0,0.0,25.0,426380.0,42840.0,9240.0,428626.3496333374,
60.0,0.0,0.0,25.0,426420.00000000006,42720.0,8490.0,428638.6530633933,
61.0,25.0,0.0,-100.0,427320.0,42800.0,9780.0,429569.40161049645,
62.0,0.0,0.0,25.0,426700.0,42870.0,9510.0,428953.5720797765,
63.0,0.0,0.0,25.0,426620.0,42760.0,9550.0,428863.8997397659,
64.0,0.0,0.0,25.0,426850.0,42570.0,9080.0,429063.6011129352,
65.0,0.0,0.0,25.0,427470.0,42420.0,8570.0,429655.09679276467,
66.0,25.0,0.0,-100.0,427630.0,42460.00000000001,8450.0,429815.8570830071,
67.0,0.0,0.0,25.0,426970.0,42530.0,8690.0,429170.94251591637,
68.0,0.0,0.0,25.0,426850.0,42380.00000000001,9000.0,429043.10610939784,
69.0,0.0,0.0,25.0,427040.0,42270.0,8850.0,429218.16946629836,
70.0,0.0,0.0,25.0,427550.0,42080.0,8770.0,429705.29645327857,
71.0,25.0,0.0,-100.0,426850.0,42190.0,7710.0,428999.2572254642,
72.0,0.0,0.0,25.0,427040.0,42460.00000000001,8260.0,429225.163288454,
73.0,0.0,0.0,25.0,426930.0,42230.0,8610.0,429099.90666510287,
74.0,0.0,0.0,25.0,427080.0,42080.0,8450.0,429231.2375631578,
75.0,0.0,0.0,25.0,426930.0,41890.0,8450.0,429063.39799614693,
76.0,-100.0,25.0,-100.0,425840.00000000006,43060.0,7430.0,428076.01439464005,
77.0,0.0,0.0,25.0,426110.0,43860.0,9670.0,428470.4664268005,
78.0,0.0,0.0,25.0,425720.0,43590.0,9590.0,428053.23804405454,
79.0,0.0,0.0,25.0,426450.00000000006,43360.0,9320.0,428749.99067055393,
80.0,0.0,0.0,25.0,425480.0,44170.0,11790.0,427928.9934089533,
81.0,25.0,0.0,-100.0,425830.0,42610.0,9950.0,428072.1942616689,
82.0,0.0,0.0,25.0,426110.0,43179.99999999999,9310.0,428393.41801666375,
83.0,0.0,0.0,25.0,426180.0,43330.0,9280.0,428477.53698414576,
84.0,0.0,0.0,25.0,426380.0,43330.0,8690.0,428664.09856669826,
85.0,0.0,0.0,25.0,426340.0,43550.00000000001,7590.0,428625.7180804717,
86.0,25.0,0.0,-100.0,427040.0,42490.0,9360.0,429250.7091432698,
87.0,0.0,0.0,25.0,426569.99999999994,42760.0,9010.0,428802.47503949876,
88.0,0.0,0.0,25.0,426530.0,42870.0,9050.0,428774.5098533727,
89.0,0.0,0.0,25.0,426880.0,42800.0,8540.0,429105.23884007754,
90.0,0.0,0.0,25.0,427660.0,42650.0,7940.0,429854.7914121698,
91.0,25.0,0.0,-100.0,427390.0,42150.0,8220.0,429542.08524893114,
92.0,0.0,0.0,25.0,426840.0,42490.0,8500.0,429033.8398075378,
93.0,0.0,0.0,25.0,426800.0,42460.00000000001,8890.0,428998.9786701129,
94.0,0.0,0.0,25.0,427160.0,42380.00000000001,8690.0,429345.1363413821,
95.0,0.0,0.0,25.0,427819.99999999994,42120.0,8650.0,429975.42871657206,
96.0,25.0,0.0,-100.0,426610.0,41660.00000000001,7360.0,428702.4810984886,
97.0,0.0,0.0,25.0,426760.0,42270.0,8270.0,428928.0165715455,
98.0,0.0,0.0,25.0,426840.0,42340.0,8660.0,429022.2101476799,
99.0,0.0,0.0,25.0,427040.0,42270.0,8500.0,429211.09549963876,
100.0,0.0,0.0,25.0,426920.0,42270.0,8890.0,429099.6054530929,
101.0,-100.0,25.0,-100.0,422530.0,39760.0,5280.0,424429.42511093646,
102.0,0.0,0.0,25.0,425439.99999999994,43360.0,8070.000000000001,427720.0113391936,
