index,dx,dy,dz,Bx,By,Bz,Bmod,
0.0,0.0,0.0,0.0,426520.0,43170.0,9730.0,428809.552365616,
1.0,-50.0,-50.0,-50.0,421820.0,48949.99999999999,8780.0,424741.4546521213,
2.0,0.0,0.0,25.0,424810.0,45990.0,10390.0,427418.4931656561,
3.0,0.0,0.0,25.0,425120.0,44620.0,11530.0,427610.6870741189,
4.0,0.0,0.0,25.0,424970.0,43060.0,12470.000000000002,427327.93660138815,
5.0,0.0,0.0,25.0,421200.0,38580.0,13839.999999999998,423189.5579997219,
6.0,25.0,0.0,-100.0,425510.0,45270.0,13759.999999999998,428132.5385905631,
7.0,0.0,0.0,25.0,425130.0,44890.0,11800.0,427656.2509773475,
8.0,0.0,0.0,25.0,425280.0,43940.0,11290.0,427692.95773954474,
9.0,0.0,0.0,25.0,425319.99999999994,43019.99999999999,10350.0,427615.4175190599,
10.0,0.0,0.0,25.0,425820.0,42490.0,8000.0,428009.43038676144,
11.0,25.0,0.0,-100.0,427190.0,43750.0,11450.0,429577.0723630394,
12.0,0.0,0.0,25.0,426180.0,43670.0,11279.999999999998,428560.0304508109,
13.0,0.0,0.0,25.0,426060.0,43140.0,10970.0,428378.94917934516,
14.0,0.0,0.0,25.0,426330.0,42720.0,10270.0,428588.07752899517,
15.0,0.0,0.0,25.0,427190.0,42380.00000000001,9760.0,429397.97169991385,
16.0,25.0,0.0,-100.0,427890.0,42950.0,9360.0,430142.0279396097,
17.0,0.0,0.0,25.0,426599.99999999994,43060.0,9410.0,428870.92662011954,
18.0,0.0,0.0,25.0,426410.0,42680.0,9870.0,428654.2749116122,
19.0,0.0,0.0,25.0,426640.0,42420.0,9760.0,428854.75816411315,
20.0,0.0,0.0,25.0,427660.0,42340.0,9280.0,429850.9853425952,
21.0,25.0,0.0,-100.0,426290.0,44210.0,5600.000000000001,428612.93517578306,
22.0,0.0,0.0,25.0,426060.0,43780.0,8220.0,428382.28301366523,
23.0,0.0,0.0,25.0,426220.0,42830.0,8970.0,428460.451150395,
24.0,0.0,0.0,25.0,426330.0,42230.0,9130.0,428513.7088822247,
25.0,0.0,0.0,25.0,426490.0,41700.0,10500.0,428652.3767576706,
26.0,-100.0,25.0,-100.0,425560.0,45650.00000000001,8620.0,428088.2391516964,
27.0,0.0,0.0,25.0,425870.00000000006,44810.0,10690.0,428354.37327054347,
28.0,0.0,0.0,25.0,425409.99999999994,44550.0,10810.0,427872.9095187027,
29.0,0.0,0.0,25.0,426140.0,44210.0,10660.0,428559.7499765931,
30.0,0.0,0.0,25.0,425170.00000000006,42760.0,13130.0,427516.48319099937,
31.0,25.0,0.0,-100.0,425790.0,44930.0,11520.0,428308.92986254673,
32.0,0.0,0.0,25.0,425830.0,44509.99999999999,10690.0,428283.3233970242,
33.0,0.0,0.0,25.0,425830.0,44090.0,10650.0,428238.8813501175,
34.0,0.0,0.0,25.0,425989.99999999994,43520.0,10100.0,428326.371473903,
35.0,0.0,0.0,25.0,425989.99999999994,43019.99999999999,9050.0,428252.3823634843,
36.0,25.0,0.0,-100.0,427120.00000000006,43970.0,10690.0,429510.3391072211,
37.0,0.0,0.0,25.0,426410.0,43940.0,10310.0,428791.9166682133,
