index,dx,dy,dz,Bx,By,Bz,Bmod,
0,0,0,0,428390.0,15189.999999999998,10580.0,428789.7673685789,
1,0,0,50,429210.0,14920.0,9990.0,429585.4171174808,
2,10,0,-1,429250.0,14810.000000000002,10430.0,429632.03267447365,
3,10,0,-3,429129.99999999994,14620.0,10390.0,429504.6605102207,
4,9,0,-6,428860.0,14580.0,10000.0,429224.2723798364,
5,8,0,-7,428780.0,14550.0,9950.0,429142.1598957623,
6,6,0,-8,428780.0,14620.0,9730.0,429139.49445372657,
7,5,0,-10,428740.0,14850.000000000002,9850.0,429110.16371090536,
8,2,0,-10,428590.0,14850.000000000002,9520.0,428952.8423964574,
9,0,0,-10,428590.0,15040.0,9330.0,428955.2874135019,
10,-2,0,-10,428660.0,15230.0,9450.0,429034.5568832422,
11,-5,0,-10,428630.0,15380.0,9560.0,429012.371499937,
12,-6,0,-8,428660.0,15570.0,9720.0,429052.79267241695,
13,-8,0,-7,428740.0,15570.0,9800.0,429134.53892689646,
14,-9,0,-6,428900.0,15870.0,10069.999999999998,429311.6255122845,
15,-10,0,-3,429050.0,15990.0,10740.0,429482.1651710348,
16,-10,0,-1,429050.0,16290.0,11020.0,429500.5320136402,
17,-10,0,1,428900.0,16550.0,11480.0,429372.68532127194,
18,-10,0,3,428510.0,16790.0,11800.0,429001.1237747519,
19,-9,0,6,428120.0,17020.0,11600.0,428615.1826522248,
20,-8,0,7,427930.0,17210.0,11530.0,428431.1028625256,
21,-6,0,8,427890.0,17240.0,11290.0,428385.9635889113,
22,-5,0,10,427730.00000000006,17130.0,11330.0,428222.7909628352,
23,-2,0,10,427610.0,17210.0,11020.0,428098.04554564366,
24,0,0,10,427650.0,17090.0,10860.0,428129.10459346254,
25,2,0,10,427879.99999999994,17020.0,10820.0,428355.0480617684,
26,5,0,10,427969.99999999994,16630.0,10740.0,428427.61979125475,
27,6,0,8,428080.0,16400.0,10590.0,428524.90534390183,
28,8,0,7,428270.0,16400.0,10080.0,428702.41345250205,
29,9,0,6,428620.0,16210.0,9920.0,429041.1109672359,
30,10,0,3,429010.00000000006,16100.000000000002,9920.0,429426.5903504347,
31,20,2,0,429210.0,15760.0,10149.999999999998,429619.1618166024,
32,10,2,-3,429129.99999999994,15460.0,10230.0,429530.23339457717,
33,9,2,-6,428890.0,15420.0,9800.0,429278.9867906418,
34,7,2,-7,428780.0,15420.0,9840.0,429170.00174755923,
35,6,1,-8,428780.0,15420.0,9600.0,429164.56610489177,
36,5,1,-10,428780.0,15610.0,9650.0,429172.55620554305,
37,2,0,-10,428579.99999999994,15530.0,9450.0,428965.38298562035,
38,0,0,-10,428579.99999999994,15720.0,9370.0,428970.54875597224,
39,-2,0,-10,428620.0,15870.0,9370.0,429016.0348984639,
40,-5,-1,-10,428620.0,15910.0,9490.0,429020.15407204354,
41,-6,-1,-8,428620.0,16100.000000000002,9690.0,429031.712697325,
42,-7,-2,-7,428710.0,16180.000000000002,9600.0,429122.6124314588,
43,-9,-2,-6,428860.0,16480.0,9960.0,429292.08192092244,
44,-10,-2,-3,429020.0,16750.0,10620.0,429478.18023736664,
45,-20,-4,0,428900.0,17020.0,11330.0,429387.07397871214,
46,-10,-2,3,428579.99999999994,17360.0,11760.0,429092.6282284513,
47,-9,-2,6,428160.0,17740.0,11720.0,428687.5920760945,
48,-7,-2,7,427930.0,17960.0,11720.0,428467.0406227298,
49,-6,-1,8,427810.0,18040.0,11600.0,428347.28632267535,
50,-5,-1,10,427730.00000000006,17930.0,11560.0,428261.6856549276,
51,-2,0,10,427540.0,17850.0,11319.999999999998,428062.16429392586,
52,0,0,10,427620.0,17700.0,11200.000000000002,428132.68317193445,
53,2,0,10,427810.0,17620.0,11170.0,428318.37387625576,
54,5,1,10,427849.99999999994,17360.0,11020.0,428343.8250984832,
55,6,1,8,428000.0,16940.0,10740.0,428469.73195314506,
56,7,2,7,428210.0,16940.0,10100.0,428663.9449498873,
57,9,2,6,428549.99999999994,16630.0,9920.0,428987.25598786725,
58,10,2,3,428950.00000000006,16590.0,9830.0,429383.23150770576,
59,19,6,0,429210.0,16290.0,10149.999999999998,429638.9306149991,
60,10,4,-3,429140.0,16060.000000000002,10220.0,429561.99971598975,
61,8,4,-6,428980.00000000006,15910.0,9910.0,429389.306573883,
62,7,3,-7,428790.0,16100.000000000002,9630.0,429200.1992077823,
63,6,3,-8,428750.0,16100.000000000002,9640.0,429160.46194867487,
64,3,1,-10,428670.0,16330.0,9710.0,429090.808454341,
65,2,1,-10,428590.0,16330.0,9640.0,429009.3082906244,
66,0,0,-10,428549.99999999994,16400.0,9480.0,428968.4521034151,
67,-2,-1,-10,428549.99999999994,16480.0,9560.0,428973.29345776286,
68,-3,-1,-10,428519.99999999994,16400.0,9390.0,428936.5017109175,
69,-6,-3,-8,428590.0,16550.0,9370.0,429011.75683190784,
70,-7,-3,-7,428670.0,16630.0,9680.0,429101.65252536605,
71,-8,-4,-6,428820.0,16940.0,9990.0,429270.72588286287,
72,-10,-4,-3,428980.00000000006,17130.0,10650.0,429453.95538986486,
73,-18,-8,0,428860.0,17470.0,11290.0,429364.1398626578,
74,-10,-4,3,428590.0,18000.0,11950.0,429134.23377773067,
75,-8,-4,6,428160.0,18230.0,11990.0,428715.6150643454,
76,-7,-3,7,427849.99999999994,18460.0,11870.0,428412.5243267287,
77,-6,-3,8,427740.0,18650.0,11670.0,428305.40388839366,
78,-3,-1,10,427670.00000000006,18420.0,11590.0,428223.36858233233,
79,-2,-1,10,427550.0,18270.0,11510.0,428094.9374846659,
80,0,0,10,427590.0,18120.0,11470.0,428127.43827042903,
81,2,1,10,427660.0,18040.0,11359.999999999998,428191.04007440415,
82,3,1,10,427819.99999999994,17660.0,11120.000000000002,428328.7083537595,
83,6,3,8,427939.99999999994,17280.0,10800.0,428424.884898158,
84,7,3,7,428170.0,17210.0,10290.0,428639.26220074616,
85,8,4,6,428530.0,17170.0,10060.0,428991.8104113411,
86,10,4,3,428910.0,16940.0,9900.0,429358.5467881127,
87,17,10,0,429180.0,16740.0,10220.0,429627.9185527868,
88,8,6,-3,429230.0,16590.0,10250.0,429672.7632745646,
89,8,5,-6,429069.99999999994,16560.0,9710.0,429499.2230493554,
90,6,5,-7,428870.0,16560.0,10020.0,429306.5465375528,
91,5,3,-8,428800.0,16590.0,9630.0,429228.84921682515,
92,3,3,-10,428680.0,16710.0,9620.0,429113.40097927494,
93,2,1,-10,428570.0,16710.0,9420.0,428999.0738917743,
94,0,0,-10,428480.0,16780.0,9390.0,428911.2389527698,
95,-2,-1,-10,428489.99999999994,16670.0,9430.0,428917.8171864628,
96,-3,-3,-10,428519.99999999994,16750.0,9270.0,428947.41612463404,
