index,dx,dy,dz,delay,x,y,z
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,-55.0,-55.0,-55.0,3.0,-55.0,-55.0,-55.0
2.0,0.0,0.0,27.5,1.0,-55.0,-55.0,-27.5
3.0,0.0,0.0,27.5,1.0,-55.0,-55.0,0.0
4.0,0.0,0.0,27.5,1.0,-55.0,-55.0,27.5
5.0,0.0,0.0,27.5,1.0,-55.0,-55.0,55.0
6.0,27.5,0.0,-110.0,3.0,-27.5,-55.0,-55.0
7.0,0.0,0.0,27.5,1.0,-27.5,-55.0,-27.5
8.0,0.0,0.0,27.5,1.0,-27.5,-55.0,0.0
9.0,0.0,0.0,27.5,1.0,-27.5,-55.0,27.5
10.0,0.0,0.0,27.5,1.0,-27.5,-55.0,55.0
11.0,27.5,0.0,-110.0,3.0,0.0,-55.0,-55.0
12.0,0.0,0.0,27.5,1.0,0.0,-55.0,-27.5
13.0,0.0,0.0,27.5,1.0,0.0,-55.0,0.0
14.0,0.0,0.0,27.5,1.0,0.0,-55.0,27.5
15.0,0.0,0.0,27.5,1.0,0.0,-55.0,55.0
16.0,27.5,0.0,-110.0,3.0,27.5,-55.0,-55.0
17.0,0.0,0.0,27.5,1.0,27.5,-55.0,-27.5
18.0,0.0,0.0,27.5,1.0,27.5,-55.0,0.0
19.0,0.0,0.0,27.5,1.0,27.5,-55.0,27.5
20.0,0.0,0.0,27.5,1.0,27.5,-55.0,55.0
21.0,27.5,0.0,-110.0,3.0,55.0,-55.0,-55.0
22.0,0.0,0.0,27.5,1.0,55.0,-55.0,-27.5
23.0,0.0,0.0,27.5,1.0,55.0,-55.0,0.0
24.0,0.0,0.0,27.5,1.0,55.0,-55.0,27.5
25.0,0.0,0.0,27.5,1.0,55.0,-55.0,55.0
26.0,-110.0,27.5,-110.0,3.0,-55.0,-27.5,-55.0
27.0,0.0,0.0,27.5,1.0,-55.0,-27.5,-27.5
28.0,0.0,0.0,27.5,1.0,-55.0,-27.5,0.0
29.0,0.0,0.0,27.5,1.0,-55.0,-27.5,27.5
30.0,0.0,0.0,27.5,1.0,-55.0,-27.5,55.0
31.0,27.5,0.0,-110.0,3.0,-27.5,-27.5,-55.0
32.0,0.0,0.0,27.5,1.0,-27.5,-27.5,-27.5
33.0,0.0,0.0,27.5,1.0,-27.5,-27.5,0.0
34.0,0.0,0.0,27.5,1.0,-27.5,-27.5,27.5
35.0,0.0,0.0,27.5,1.0,-27.5,-27.5,55.0
36.0,27.5,0.0,-110.0,3.0,0.0,-27.5,-55.0
37.0,0.0,0.0,27.5,1.0,0.0,-27.5,-27.5
38.0,0.0,0.0,27.5,1.0,0.0,-27.5,0.0
39.0,0.0,0.0,27.5,1.0,0.0,-27.5,27.5
40.0,0.0,0.0,27.5,1.0,0.0,-27.5,55.0
41.0,27.5,0.0,-110.0,3.0,27.5,-27.5,-55.0
42.0,0.0,0.0,27.5,1.0,27.5,-27.5,-27.5
43.0,0.0,0.0,27.5,1.0,27.5,-27.5,0.0
44.0,0.0,0.0,27.5,1.0,27.5,-27.5,27.5
45.0,0.0,0.0,27.5,1.0,27.5,-27.5,55.0
46.0,27.5,0.0,-110.0,3.0,55.0,-27.5,-55.0
47.0,0.0,0.0,27.5,1.0,55.0,-27.5,-27.5
48.0,0.0,0.0,27.5,1.0,55.0,-27.5,0.0
49.0,0.0,0.0,27.5,1.0,55.0,-27.5,27.5
50.0,0.0,0.0,27.5,1.0,55.0,-27.5,55.0
51.0,-110.0,27.5,-110.0,3.0,-55.0,0.0,-55.0
52.0,0.0,0.0,27.5,1.0,-55.0,0.0,-27.5
53.0,0.0,0.0,27.5,1.0,-55.0,0.0,0.0
54.0,0.0,0.0,27.5,1.0,-55.0,0.0,27.5
55.0,0.0,0.0,27.5,1.0,-55.0,0.0,55.0
56.0,27.5,0.0,-110.0,3.0,-27.5,0.0,-55.0
57.0,0.0,0.0,27.5,1.0,-27.5,0.0,-27.5
58.0,0.0,0.0,27.5,1.0,-27.5,0.0,0.0
59.0,0.0,0.0,27.5,1.0,-27.5,0.0,27.5
60.0,0.0,0.0,27.5,1.0,-27.5,0.0,55.0
61.0,27.5,0.0,-110.0,3.0,0.0,0.0,-55.0
62.0,0.0,0.0,27.5,1.0,0.0,0.0,-27.5
63.0,0.0,0.0,27.5,1.0,0.0,0.0,0.0
64.0,0.0,0.0,27.5,1.0,0.0,0.0,27.5
65.0,0.0,0.0,27.5,1.0,0.0,0.0,55.0
66.0,27.5,0.0,-110.0,3.0,27.5,0.0,-55.0
67.0,0.0,0.0,27.5,1.0,27.5,0.0,-27.5
